id,title,vote_average,vote_count,popularity,year,month,day
8457,Drillbit Taylor,StandardScaler(),StandardScaler(),StandardScaler(),2008,2,4
807172,The Exorcist: Believer,StandardScaler(),StandardScaler(),StandardScaler(),2023,10,4
240916,Reasonable Doubt,StandardScaler(),StandardScaler(),StandardScaler(),2014,1,17
359412,Marauders,StandardScaler(),StandardScaler(),StandardScaler(),2016,7,1
250349,Barbecue,StandardScaler(),StandardScaler(),StandardScaler(),2014,4,30
87428,That's My Boy,StandardScaler(),StandardScaler(),StandardScaler(),2012,6,14
11856,Air America,StandardScaler(),StandardScaler(),StandardScaler(),1990,8,10
9932,Analyze That,StandardScaler(),StandardScaler(),StandardScaler(),2002,12,6
423087,6 Below: Miracle on the Mountain,StandardScaler(),StandardScaler(),StandardScaler(),2017,10,12
323676,The Boss,StandardScaler(),StandardScaler(),StandardScaler(),2016,4,7
51620,Death Race 2,StandardScaler(),StandardScaler(),StandardScaler(),2010,11,12
37414,The Killer Inside Me,StandardScaler(),StandardScaler(),StandardScaler(),2010,2,19
9384,Starsky & Hutch,StandardScaler(),StandardScaler(),StandardScaler(),2004,3,5
2099,Raw Deal,StandardScaler(),StandardScaler(),StandardScaler(),1986,6,6
433627,7 Days in Entebbe,StandardScaler(),StandardScaler(),StandardScaler(),2018,3,15
214030,Fading Gigolo,StandardScaler(),StandardScaler(),StandardScaler(),2013,9,7
41665,Fantozzi in Heaven,StandardScaler(),StandardScaler(),StandardScaler(),1993,12,21
20606,Doghouse,StandardScaler(),StandardScaler(),StandardScaler(),2009,6,11
19904,The Stepfather,StandardScaler(),StandardScaler(),StandardScaler(),2009,10,16
13998,Margot at the Wedding,StandardScaler(),StandardScaler(),StandardScaler(),2007,11,16
9824,Mystery Men,StandardScaler(),StandardScaler(),StandardScaler(),1999,8,6
325133,Neighbors 2: Sorority Rising,StandardScaler(),StandardScaler(),StandardScaler(),2016,5,4
57157,Young Adult,StandardScaler(),StandardScaler(),StandardScaler(),2011,11,11
17127,The Object of My Affection,StandardScaler(),StandardScaler(),StandardScaler(),1998,4,17
502416,Ma,StandardScaler(),StandardScaler(),StandardScaler(),2019,5,29
11451,Herbie Fully Loaded,StandardScaler(),StandardScaler(),StandardScaler(),2005,6,22
9341,The Core,StandardScaler(),StandardScaler(),StandardScaler(),2003,3,28
1196470,Survive,StandardScaler(),StandardScaler(),StandardScaler(),2024,6,19
461992,Hostile,StandardScaler(),StandardScaler(),StandardScaler(),2018,3,8
38262,Department Store,StandardScaler(),StandardScaler(),StandardScaler(),1986,6,6
10054,Spy Kids,StandardScaler(),StandardScaler(),StandardScaler(),2001,3,18
1083433,I Know What You Did Last Summer,StandardScaler(),StandardScaler(),StandardScaler(),2025,7,16
354861,Father Figures,StandardScaler(),StandardScaler(),StandardScaler(),2017,12,21
957452,The Crow,StandardScaler(),StandardScaler(),StandardScaler(),2024,8,21
619979,Deep Water,StandardScaler(),StandardScaler(),StandardScaler(),2022,3,17
437311,Orbiter 9,StandardScaler(),StandardScaler(),StandardScaler(),2017,4,7
60049,Come tu mi vuoi,StandardScaler(),StandardScaler(),StandardScaler(),2007,10,9
44943,Battle: Los Angeles,StandardScaler(),StandardScaler(),StandardScaler(),2011,3,8
76489,The Three Stooges,StandardScaler(),StandardScaler(),StandardScaler(),2012,4,13
323368,Hangman,StandardScaler(),StandardScaler(),StandardScaler(),2017,12,22
790462,I.S.S.,StandardScaler(),StandardScaler(),StandardScaler(),2024,1,19
12193,Four Christmases,StandardScaler(),StandardScaler(),StandardScaler(),2008,11,26
